n,size,misses
3,4,11
4,4,19
5,8,29
6,10,40
7,12,56
8,14,71
9,20,85
10,23,110
11,26,131
12,29,153
13,37,181
14,41,208
15,45,236
16,49,265
17,63,302
18,67,336
19,71,371
20,75,407
21,96,453
22,101,494
23,106,536
24,111,579
25,136,634
26,142,682
27,148,731
28,154,781
29,183,845
30,190,900
31,197,956
32,204,1013
33,237,1086
34,245,1148
35,253,1211
36,261,1275
37,298,1357
38,307,1426
39,316,1496
40,325,1567
41,366,1658
42,376,1734
43,386,1811
44,396,1889
45,441,1989
46,452,2072
47,463,2156
48,474,2241
49,523,2350
50,535,2440
51,547,2531
52,559,2623
53,612,2741
54,625,2838
55,638,2936
56,651,3035
57,708,3162
58,722,3266
59,736,3371
60,750,3477
61,811,3613
62,826,3724
63,841,3836
64,856,3949
65,921,4094
66,937,4212
67,953,4331
68,969,4451
69,1038,4605
70,1055,4730
71,1072,4856
72,1089,4983
73,1162,5146
74,1180,5278
75,1198,5411
76,1216,5545
77,1293,5717
78,1312,5856
79,1331,5996
80,1350,6137
81,1431,6318
82,1451,6464
83,1471,6611
84,1491,6759
85,1576,6949
86,1597,7102
87,1618,7256
88,1639,7411
89,1728,7610
90,1750,7770
91,1772,7931
92,1794,8093
93,1887,8301
94,1910,8468
95,1933,8636
96,1956,8805
97,2053,9022
98,2077,9196
99,2101,9371
100,2125,9547
101,2226,9773
102,2251,9954
103,2276,10136
104,2301,10319
105,2406,10554
106,2432,10742
107,2458,10931
108,2484,11121
109,2593,11365
110,2620,11560
111,2647,11756
112,2674,11953
113,2787,12206
114,2815,12408
115,2843,12611
116,2871,12815
117,2988,13077
118,3017,13286
119,3046,13496
120,3075,13707
121,3196,13978
122,3226,14194
123,3256,14411
124,3286,14629
125,3411,14909
126,3442,15132
127,3473,15356
128,3504,15581
129,3633,15870
130,3665,16100
131,3697,16331
132,3729,16563
133,3862,16861
134,3895,17098
135,3928,17336
136,3961,17575
137,4098,17882
138,4132,18126
139,4166,18371
140,4200,18617
141,4341,18933
142,4376,19184
143,4411,19436
144,4446,19689
145,4591,20014
146,4627,20272
147,4663,20531
148,4699,20791
149,4848,21125
150,4885,21390
151,4922,21656
152,4959,21923
153,5112,22266
154,5150,22538
155,5188,22811
156,5226,23085
157,5383,23437
158,5422,23716
159,5461,23996
160,5500,24277
161,5661,24638
162,5701,24924
163,5741,25211
164,5781,25499
165,5946,25869
166,5987,26162
167,6028,26456
168,6069,26751
169,6238,27130
170,6280,27430
171,6322,27731
172,6364,28033
173,6537,28421
174,6580,28728
175,6623,29036
176,6666,29345
177,6843,29742
178,6887,30056
179,6931,30371
180,6975,30687
181,7156,31093
182,7201,31414
183,7246,31736
184,7291,32059
185,7476,32474
186,7522,32802
187,7568,33131
188,7614,33461
189,7803,33885
190,7850,34220
191,7897,34556
192,7944,34893
193,8137,35326
194,8185,35668
195,8233,36011
196,8281,36355
197,8478,36797
198,8527,37146
199,8576,37496
200,8625,37847
201,8826,38298
