n,size,misses
2,5,8
3,6,15
4,8,24
5,10,35
6,12,48
7,33,63
8,16,80
9,41,99
10,20,120
11,49,143
12,24,168
13,71,195
14,92,224
15,30,255
16,86,288
17,110,323
18,36,360
19,163,399
20,40,440
21,133,483
22,163,528
23,195,575
24,48,624
25,50,675
26,190,728
27,226,783
28,264,840
29,304,899
30,60,960
31,257,1023
32,299,1088
33,343,1155
34,389,1224
35,437,1295
36,72,1368
37,382,1443
38,432,1520
39,484,1599
40,538,1680
41,594,1763
42,84,1848
43,531,1935
44,589,2024
45,649,2115
46,711,2208
47,775,2303
48,96,2400
49,704,2499
50,770,2600
51,838,2703
52,908,2808
53,980,2915
54,108,3024
55,901,3135
56,975,3248
57,1051,3363
58,1129,3480
59,1209,3599
60,120,3720
61,1122,3843
62,1204,3968
63,1288,4095
64,1374,4224
65,1462,4355
66,132,4488
67,1367,4623
68,1457,4760
69,1549,4899
70,1643,5040
71,1739,5183
72,144,5328
73,1636,5475
74,1734,5624
75,1834,5775
76,1936,5928
77,2040,6083
78,156,6240
79,1929,6399
80,2035,6560
81,2143,6723
82,2253,6888
83,2365,7055
84,168,7224
85,2246,7395
86,2360,7568
87,2476,7743
88,2594,7920
89,2714,8099
90,180,8280
91,2587,8463
92,2709,8648
93,2833,8835
94,2959,9024
95,3087,9215
96,192,9408
97,2952,9603
98,3082,9800
99,3214,9999
100,3348,10200
101,3484,10403
102,204,10608
103,3341,10815
104,3479,11024
105,3619,11235
106,3761,11448
107,3905,11663
108,216,11880
109,3754,12099
110,3900,12320
111,4048,12543
112,4198,12768
113,4350,12995
114,228,13224
115,4191,13455
116,4345,13688
117,4501,13923
118,4659,14160
119,4819,14399
120,240,14640
121,4652,14883
122,4814,15128
123,4978,15375
124,5144,15624
125,5312,15875
126,252,16128
127,5137,16383
128,5307,16640
129,5479,16899
130,5653,17160
131,5829,17423
132,264,17688
133,5646,17955
134,5824,18224
135,6004,18495
136,6186,18768
137,6370,19043
138,276,19320
139,6179,19599
140,6365,19880
141,6553,20163
142,6743,20448
143,6935,20735
144,288,21024
145,6736,21315
146,6930,21608
147,7126,21903
148,7324,22200
149,7524,22499
150,300,22800
151,7317,23103
152,7519,23408
153,7723,23715
154,7929,24024
155,8137,24335
156,312,24648
157,7922,24963
158,8132,25280
159,8344,25599
160,8558,25920
161,8774,26243
162,324,26568
163,8551,26895
164,8769,27224
165,8989,27555
166,9211,27888
167,9435,28223
168,336,28560
169,9204,28899
170,9430,29240
171,9658,29583
172,9888,29928
173,10120,30275
174,348,30624
175,9881,30975
176,10115,31328
177,10351,31683
178,10589,32040
179,10829,32399
180,360,32760
181,10582,33123
182,10824,33488
183,11068,33855
184,11314,34224
185,11562,34595
186,372,34968
187,11307,35343
188,11557,35720
189,11809,36099
190,12063,36480
191,12319,36863
192,384,37248
193,12056,37635
194,12314,38024
195,12574,38415
196,12836,38808
197,13100,39203
198,396,39600
199,12829,39999
200,13095,40400
201,13363,40803
202,13633,41208
203,13905,41615
204,408,42024
205,13626,42435
206,13900,42848
207,14176,43263
208,14454,43680
209,14734,44099
210,420,44520
211,14447,44943
212,14729,45368
213,15013,45795
214,15299,46224
215,15587,46655
216,432,47088
217,15292,47523
218,15582,47960
219,15874,48399
220,16168,48840
221,16464,49283
